,gamma,PHI,x_vals,llh,delta_llh
123,2.5653061224489795,0.050000000000000044,"[ 2.55072124e-02  7.99932651e+00  5.52268049e-01  1.48996645e-01
  7.48331713e-01 -1.62215463e+02]",-293605.5360714407,14.147970241378061
124,2.5653061224489795,0.10000000000000009,"[ 2.50123701e-02  7.99932776e+00  5.52267255e-01  1.48996643e-01
  7.48327065e-01 -1.62215438e+02]",-293606.15867992333,13.525361758773215
125,2.5653061224489795,0.15000000000000013,"[ 2.44562795e-02  7.99932962e+00  5.52268034e-01  1.48996644e-01
  7.48309166e-01 -1.62215409e+02]",-293606.79191210686,12.892129575251602
126,2.5653061224489795,0.20000000000000018,"[ 2.44559363e-02  7.99932962e+00  5.52268084e-01  1.48996627e-01
  7.48309197e-01 -1.62215409e+02]",-293607.4242528983,12.25978878379101
127,2.5653061224489795,0.25,"[ 2.29840396e-02  7.99933124e+00  5.52267777e-01  1.48996643e-01
  7.48331244e-01 -1.62215326e+02]",-293608.05440268473,11.62963899737224
128,2.5653061224489795,0.30000000000000004,"[ 2.23176136e-02  7.99933191e+00  5.52267980e-01  1.48996518e-01
  7.48331471e-01 -1.62215293e+02]",-293608.6591345774,11.024907104729209
129,2.5653061224489795,0.3500000000000001,"[ 2.15814748e-02  7.99933327e+00  5.52267976e-01  1.49003360e-01
  7.48331469e-01 -1.62215260e+02]",-293609.22454323363,10.459498448472004
130,2.5653061224489795,0.40000000000000013,"[ 2.05978657e-02  7.99933435e+00  5.52268050e-01  1.48996678e-01
  7.48331466e-01 -1.62215217e+02]",-293609.73035471427,9.95368696784135
131,2.5653061224489795,0.4500000000000002,"[ 1.96566018e-02  7.99933565e+00  5.52268042e-01  1.48998121e-01
  7.48331908e-01 -1.62215180e+02]",-293610.1505847657,9.533456916396972
132,2.5653061224489795,0.5,"[ 1.85553265e-02  7.99933742e+00  5.52266454e-01  1.48997550e-01
  7.48331476e-01 -1.62215149e+02]",-293610.4547136163,9.229328065819573
133,2.5653061224489795,0.55,"[ 1.75659579e-02  8.00000000e+00  5.52261782e-01  1.49331836e-01
  7.51013792e-01 -1.62213385e+02]",-293610.60844516585,9.075596516253427
134,2.5653061224489795,0.6000000000000001,"[ 1.64016001e-02  8.00000000e+00  5.52236650e-01  1.49331836e-01
  7.51674416e-01 -1.62213371e+02]",-293610.60398567776,9.080056004342623
135,2.5653061224489795,0.6500000000000001,"[ 1.49547525e-02  8.00000000e+00  5.52038428e-01  1.49323142e-01
  7.51664819e-01 -1.62213371e+02]",-293610.3620812298,9.321960452303756
136,2.5653061224489795,0.7000000000000002,"[ 1.40613423e-02  8.00000000e+00  5.47723985e-01  1.49331176e-01
  7.54414240e-01 -1.62213492e+02]",-293609.8967418992,9.78729978291085
137,2.5653061224489795,0.75,"[ 1.25322854e-02  8.00000000e+00  5.47722554e-01  1.49331817e-01
  7.54983443e-01 -1.62213528e+02]",-293609.1323122405,10.55172944162041
138,2.5653061224489795,0.8,"[ 1.11719000e-02  8.00000000e+00  5.47721821e-01  1.49331842e-01
  7.58212754e-01 -1.62213788e+02]",-293607.9709231671,11.713118515035603
139,2.5653061224489795,0.8500000000000001,"[ 9.40475001e-03  8.00000000e+00  5.47722390e-01  1.49331844e-01
  7.58288447e-01 -1.62213927e+02]",-293606.3748484195,13.309193262597546
140,2.5653061224489795,0.9000000000000001,"[ 7.37016673e-03  8.00000000e+00  5.47405660e-01  1.49331845e-01
  7.58452028e-01 -1.62214151e+02]",-293604.1821303939,15.50191128818551
141,2.5653061224489795,0.9500000000000002,"[ 6.61069364e-03  8.00000000e+00  5.43119854e-01  1.49331843e-01
  7.61973243e-01 -1.62214381e+02]",-293601.5629775918,18.12106409028638
142,2.5653061224489795,1.0,"[ 4.28887369e-03  8.00000000e+00  5.43138906e-01  1.49331851e-01
  7.64852926e-01 -1.62214890e+02]",-293598.2248779577,21.4591637243866
143,2.5653061224489795,1.0500000000000003,"[ 2.40588543e-03  8.00000000e+00  5.38516478e-01  1.49672104e-01
  7.64870871e-01 -1.62215485e+02]",-293594.14578255365,25.538259128457867
144,2.5653061224489795,1.1,"[ 3.91361129e-04  8.00000000e+00  5.38516475e-01  1.49666294e-01
  7.68114569e-01 -1.62216167e+02]",-293589.2707811963,30.41326048580231
145,2.5653061224489795,1.15,"[-1.47893864e-03  8.00000000e+00  5.36112710e-01  1.49666291e-01
  7.71362448e-01 -1.62217175e+02]",-293583.36844842933,36.3155932527734
146,2.5653061224489795,1.2000000000000002,"[-3.58154926e-03  8.00000000e+00  5.33853910e-01  1.49999999e-01
  7.74598981e-01 -1.62218321e+02]",-293576.58700204955,43.097039632557426
