,GAMMA,x_vals,llh,delta_llh
184,4.923076923076923,[1.74389589e-04 8.99927507e-01 3.31221067e+00],-293620.9326612849,0.40849338861880824
185,4.949832775919733,[1.45961573e-04 9.01102278e-01 3.30719782e+00],-293620.95297158486,0.38818308868212625
186,4.976588628762542,[1.20705201e-04 9.02196728e-01 3.30235220e+00],-293620.97278811387,0.36836655967636034
187,5.003344481605351,[9.38882836e-05 9.03253554e-01 3.29765130e+00],-293620.99206950504,0.34908516850555316
188,5.030100334448161,[7.54772057e-05 9.04131193e-01 3.29308610e+00],-293621.01078157884,0.3303730947081931
189,5.05685618729097,[5.42172323e-05 9.04969214e-01 3.28859986e+00],-293621.0288953742,0.31225929933134466
190,5.083612040133779,[3.39633834e-05 9.05782653e-01 3.28436716e+00],-293621.0463886093,0.29476606426760554
191,5.110367892976589,[1.77537950e-05 9.06489386e-01 3.28022057e+00],-293621.0632443945,0.2779102790518664
192,5.137123745819398,[2.05461409e-06 9.07124261e-01 3.27624668e+00],-293621.07945103897,0.26170363457640633
193,5.1638795986622075,[-1.00929641e-05  9.07685055e-01  3.27232627e+00],-293621.0950020837,0.24615258985431865
194,5.190635451505017,[-2.20620157e-05  9.08183801e-01  3.26856195e+00],-293621.10989471956,0.23125995398731902
195,5.217391304347826,[-3.40937534e-05  9.08699412e-01  3.26501996e+00],-293621.12413085275,0.21702382079092786
196,5.2441471571906355,[-4.27919001e-05  9.09090578e-01  3.26154012e+00],-293621.1377153994,0.20343927416251972
197,5.270903010033445,[-5.12125497e-05  9.09459126e-01  3.25819219e+00],-293621.15065649606,0.19049817748600617
198,5.297658862876254,[-5.89678819e-05  9.09802237e-01  3.25509058e+00],-293621.1629650593,0.17818961426382884
199,5.3244147157190636,[-6.18776999e-05  9.10044467e-01  3.25195002e+00],-293621.17465408676,0.16650058678351343
200,5.351170568561873,[-6.79964895e-05  9.10319667e-01  3.24907379e+00],-293621.1857386642,0.15541600936558098
201,5.377926421404682,[-7.65048380e-05  9.10571378e-01  3.24630388e+00],-293621.19623491506,0.14491975848795846
202,5.404682274247492,[-7.44219502e-05  9.10712594e-01  3.24357728e+00],-293621.20616076957,0.13499390397919342
203,5.431438127090301,[-7.85707391e-05  9.10884357e-01  3.24104173e+00],-293621.21553461434,0.1256200592033565
204,5.45819397993311,[-8.01512521e-05  9.11040412e-01  3.23861129e+00],-293621.2243756014,0.11677907215198502
205,5.48494983277592,[-8.07579061e-05  9.11102075e-01  3.23626160e+00],-293621.2327036468,0.10845102672465146
206,5.511705685618729,[-8.03838650e-05  9.11179070e-01  3.23403136e+00],-293621.24053844024,0.10061623330693692
207,5.538461538461538,[-8.30186660e-05  9.11271648e-01  3.23197794e+00],-293621.2479002159,0.09325445763533935
208,5.565217391304348,[-8.26138671e-05  9.11363188e-01  3.23007026e+00],-293621.2548085144,0.08634615916525945
209,5.591973244147157,[-7.92843234e-05  9.11340059e-01  3.22808758e+00],-293621.261284434,0.0798702395404689
210,5.618729096989966,[-7.85870707e-05  9.11366564e-01  3.22627604e+00],-293621.26734653325,0.07380814029602334
211,5.645484949832776,[-7.73114544e-05  9.11323673e-01  3.22452373e+00],-293621.27301448316,0.0681401903857477
212,5.672240802675585,[-7.50027481e-05  9.11361918e-01  3.22297289e+00],-293621.2783079263,0.06284674722701311
213,5.698996655518394,[-7.17561737e-05  9.11323907e-01  3.22141976e+00],-293621.28324502136,0.05790965218329802
214,5.725752508361204,[-6.89463959e-05  9.11353282e-01  3.22007034e+00],-293621.28784424625,0.05331042729085311
215,5.752508361204013,[-6.82715824e-05  9.11304163e-01  3.21865911e+00],-293621.29212387174,0.04903080180520192
216,5.7792642140468224,[-6.69548768e-05  9.11299762e-01  3.21744295e+00],-293621.2961007365,0.04505393706494942
217,5.806020066889632,[-6.16438912e-05  9.11225401e-01  3.21615112e+00],-293621.2997922832,0.041362390329595655
218,5.832775919732441,[-5.97206670e-05  9.11179155e-01  3.21507321e+00],-293621.3032146365,0.03794003702932969
219,5.8595317725752505,[-5.73918919e-05  9.11135137e-01  3.21396047e+00],-293621.3063837564,0.034770917147397995
220,5.88628762541806,[-5.58567504e-05  9.11144356e-01  3.21306757e+00],-293621.3093148303,0.03183984325733036
221,5.913043478260869,[-4.96542276e-05  9.11046701e-01  3.21211383e+00],-293621.3120229582,0.02913171536056325
222,5.9397993311036785,[-5.14646770e-05  9.11039583e-01  3.21124752e+00],-293621.31452216103,0.026632512512151152
223,5.966555183946488,[-4.85297848e-05  9.10990285e-01  3.21041898e+00],-293621.3168259853,0.02432868821779266
224,5.993311036789297,[-4.50748916e-05  9.10915122e-01  3.20961511e+00],-293621.31894748553,0.022207188012544066
225,6.020066889632107,[-4.34477613e-05  9.10870261e-01  3.20891391e+00],-293621.3208989423,0.020255731244105846
226,6.046822742474916,[-4.09420272e-05  9.10838066e-01  3.20826364e+00],-293621.3226922045,0.018462469044607133
227,6.073578595317725,[-3.69445297e-05  9.10768180e-01  3.20758622e+00],-293621.3243384655,0.016816208022646606
228,6.100334448160535,[-3.76508137e-05  9.10762841e-01  3.20709003e+00],-293621.3258482742,0.01530639932025224
229,6.127090301003344,[-3.37009034e-05  9.10684963e-01  3.20650761e+00],-293621.3272317987,0.013922874815762043
230,6.153846153846153,[-3.32538410e-05  9.10681801e-01  3.20605194e+00],-293621.328498147,0.012656526523642242
231,6.1806020066889635,[-3.16801061e-05  9.10630190e-01  3.20555014e+00],-293621.3296565062,0.011498167354147881
232,6.207357859531773,[-2.72731394e-05  9.10567659e-01  3.20511156e+00],-293621.33071503014,0.01043964340351522
233,6.234113712374582,[-2.66357287e-05  9.10545552e-01  3.20470374e+00],-293621.331681453,0.009473220561631024
234,6.260869565217392,[-2.41380002e-05  9.10509768e-01  3.20438611e+00],-293621.3325631205,0.008591553021688014
235,6.287625418060201,[-2.76047528e-05  9.10555874e-01  3.20407002e+00],-293621.33336636,0.007788313552737236
236,6.31438127090301,[-2.25726406e-05  9.10451571e-01  3.20378839e+00],-293621.3340986996,0.007055973925162107
237,6.34113712374582,[-2.12208500e-05  9.10423695e-01  3.20341803e+00],-293621.3347654201,0.006389253423549235
238,6.367892976588629,[-2.20449249e-05  9.10422871e-01  3.20312655e+00],-293621.33537140395,0.005783269589301199
239,6.394648829431438,[-1.81352016e-05  9.10369056e-01  3.20288274e+00],-293621.33592253306,0.0052321404800750315
240,6.421404682274248,[-1.95279195e-05  9.10368357e-01  3.20266475e+00],-293621.3364228871,0.00473178643733263
241,6.448160535117057,[-1.83411882e-05  9.10361080e-01  3.20252943e+00],-293621.3368769383,0.004277735250070691
